,org1_x,org1_y,org1_z,org2_x,org2_y,org2_z
0,-377.8962672292125,189.15816526005003,1099.86971021508,-198.5673945025,13.603090730000003,473.064168968
1,-31.1930089949,259.66550295711994,843.91663909415,-37.849270430000004,151.97172338399997,435.35389390500006
2,-495.71175060789164,355.44947835511704,734.122502906927,-236.162098202481,220.558420103955,440.54207539332725
3,-599.2228552142991,590.0536432087422,483.9884215622707,-246.04793957105002,279.95473823777894,238.92599150459242
4,-960.9089332330425,1523.227033220148,-730.5959365414722,-292.6819718309289,460.58825014465253,-39.55195601679159
5,-2298.6325390193383,1549.2723575162981,-590.7082520048396,-487.3440344336956,432.8358246647765,-52.93782969637971
6,-1280.2384289086312,812.7215521693734,-574.0572387124429,-397.9784734285782,357.3908446580106,-79.49275190094806
7,-465.5522997691391,372.6272652761232,-174.32446524270267,-259.1770463117494,263.7004624015067,-21.189836039795978
8,-463.15213174366994,362.46198171879035,-154.33345365335728,-272.1981159280422,261.96427700986277,-2.9401635850614696
9,-489.88523216090925,390.8998449993311,-156.7770798127628,-278.205653686078,269.94959382238545,3.135221956515011
10,-476.16172516208934,417.9265420301009,-101.43534562010545,-282.08572946173933,292.7471459136339,33.73289611904562
11,-555.899968969704,490.01541307549576,-153.96238664094633,-282.87867787669285,305.7582655733575,18.930928548301893
12,-597.3242819702865,525.7567524438804,-246.16540318673714,-281.32285082724843,312.83482896494957,-26.66707860273374
13,-671.369874971649,473.5701932481527,-235.30980937812942,-321.69436881333496,279.65130581893004,-26.26665696834587
14,-556.162066736713,461.3125910321989,-214.70618103289672,-275.1679444876822,284.849086103142,-26.584136714287865
15,-565.5155774570386,465.02859982358075,-144.1466523991554,-290.1201313994065,293.34924426184165,11.840475188696473
16,-488.2573821598917,442.81434677912756,-85.34826628250106,-260.1674081089466,285.01167715857525,36.65850981134449
17,-392.20624734280165,402.3104855729524,7.482271620078166,-237.67463529107846,281.3891233247816,83.51588765980476
18,-334.39289377192995,363.593783143985,53.60566949387439,-212.6261165790457,255.98660253766042,93.69598658721881
19,-285.00359065029215,328.5047803780403,105.09267059972792,-199.1168998907832,244.73674946012875,126.2150183703195
20,-271.45951046912916,316.0003441791598,152.45987484620258,-191.41429514649548,235.2164748851086,157.96451892575038
21,-275.82508373338504,297.1211479763475,195.30998362160318,-192.56559969651113,214.9327322473198,182.1774069329026
22,-274.18589843184793,284.50270984808805,213.51196289831012,-191.74396791020064,204.93408002329937,196.16297725116112
23,-268.74566597417913,278.0937914474166,220.08876042056067,-183.2509755998504,197.5047525098334,195.78518476021853
24,-265.32211742178737,270.8014490945374,244.9691896269087,-181.68537524363904,191.80485675388553,215.5178134074456
25,-251.722110847794,258.0631365728345,250.30001444509665,-173.54065851877343,180.67781226396013,213.37619630432079
26,-247.19005740020285,260.7296326061991,288.8401041934118,-166.95966091623205,184.84709330586298,247.7989747733502
27,-230.2775061868879,236.889571630481,291.9080666965767,-155.9718206670199,165.12378040883647,242.43382454852716
28,-232.19545166355638,228.271115890903,323.447295634268,-158.7509974932655,158.346544082256,269.34798085988245
29,-222.7832493235394,209.20681867925273,325.12075595532684,-153.55821413523608,140.94127776957845,264.70172774993114
30,-208.03280864831402,198.7732813973529,338.8560311441548,-144.12297148691002,136.01820019582934,277.52325711669056
31,-184.42836322650408,215.83389828907582,378.08344097482865,-128.02270944017855,157.30215502829054,320.3624545359465
32,-169.79009063033607,222.60944404457706,297.31997292570895,-115.1362165303953,162.56602599621445,248.8619648387276
33,-204.11300782094713,237.53483147278638,266.64024818104656,-147.03728713391007,168.1118740465502,227.99419566107045
34,-232.57626790323826,301.326991337618,229.46197466472324,-157.76115319927194,216.5729330441605,198.98613556029395
35,-249.74758180000364,316.8852088552169,201.98517713605025,-171.89305156469405,233.94356515347184,185.85198822566926
36,-260.796024099176,327.6092577396631,134.87623294874058,-180.07543125699866,248.68430293572007,133.69955155148853
37,-305.6927293693138,345.13127701314716,21.14874322499236,-206.5025902492443,263.87886193396673,60.64035480047855
38,-303.5289182408836,387.92962500896095,-64.63581958438613,-187.52628796332002,300.98213345018667,15.795575961288932
39,-467.74433380940746,402.83212209353167,-155.2685019267261,-258.39131611189515,278.41950697879076,-15.995739970566362
40,-718.643804253733,439.8841070623562,-14.250359600862225,-338.77203023866184,264.91115101231895,97.43006331264867
41,-474.21034336902926,332.46026223871274,164.1277622476199,-279.90344231386354,222.31358186180813,169.39595208869954
42,-355.7689026979198,271.4861165889379,146.34992360784204,-236.68264375696725,203.71573727063546,149.99996000353823
43,-390.6408676664558,223.81763436498613,132.34393120856316,-270.8989255286059,162.4091448529366,136.6812411890977
