,a,b,c
0,0.0,2.86,303734.44785472867
1,0.0,5.07,99888.94394428433
2,0.0,7.43,158059.81241219532
3,0.0,9.74,341424.5719776211
4,0.0,12.08,2590800.880992016
5,0.0,14.08,4286456.035791229
6,0.0,16.41,1274898.2851381563
7,0.0,18.740000000000002,142736.1006413205
8,0.0,20.740000000000002,131232.0031262562
9,0.0,22.740000000000002,156277.18312038935
10,0.0,24.75,142263.48401454728
11,0.0,26.77,244799.15441860305
12,0.0,29.09,319833.02758053964
13,0.0,31.09,314523.112181249
14,0.0,33.61,254981.6800558807
15,0.0,35.81,226897.96346130496
16,0.0,38.1,181166.52855787717
17,0.0,40.26,109202.86266591425
18,0.0,42.26,75315.26903921894
19,0.0,44.29,47165.57554729808
20,0.0,46.300000000000004,41789.75230165647
21,0.0,48.6,38924.0472571895
22,0.0,50.95,37483.7157982305
23,0.0,53.29,37371.56788647237
24,0.0,55.34,35465.64325895499
25,0.0,57.64,33208.95871110837
26,0.0,60.02,32872.82084662716
27,0.0,62.27,29521.4844588386
28,0.0,64.27,28003.199379034468
29,0.0,66.3,25401.292729398778
30,0.0,68.63,23757.103940445584
31,0.0,70.63,22253.66503287022
32,0.0,72.63,22977.63362375703
33,0.0,74.97,25183.36597403691
34,0.0,77.29,38938.64494588128
35,0.0,79.31,40615.94419238774
36,0.0,81.72,42672.05573566906
37,0.0,83.99,60363.742776567364
38,0.0,86.36,83310.13699688955
39,0.0,88.62,160647.87431520794
40,0.0,90.64,273056.1260021897
41,0.0,92.98,93486.90600589382
42,0.0,95.0,46335.64672691052
43,0.0,97.31,41425.45775753179
