,org1_x,org1_y,org1_z,org2_x,org2_y,org2_z
0,1575545190453391.8,-972643161520.3146,215736380688596.9,1575545190453391.8,-972643161520.3146,215736380688596.9
1,64113852501663.19,3611965623041.112,10750357105376.68,64113852501663.19,3611965623041.112,10750357105376.68
2,-31453327857654.0,6783723257128.308,-19777619692747.617,-31453327857654.0,6783723257128.308,-19777619692747.617
3,-17979618075621.23,2038391151603.3105,8845626426372.1,-17979618075621.23,2038391151603.3105,8845626426372.1
4,4992730223066649.0,5264547715248250.0,-2.5835041111209628e+16,4992730223066649.0,5264547715248250.0,-2.5835041111209628e+16
5,1249721193005480.5,1425503245172045.8,-6584734724996309.0,1249721193005480.5,1425503245172045.8,-6584734724996309.0
6,441565404275306.75,318429442399260.56,-935590484761359.1,441565404275306.75,318429442399260.56,-935590484761359.1
7,11162862350198.463,9338873095249.94,-15303281136884.209,11162862350198.463,9338873095249.94,-15303281136884.209
8,9779717464475.986,9897507517550.232,-11895019804605.492,9779717464475.986,9897507517550.232,-11895019804605.492
9,14306708071602.93,16502779692080.314,-16506093031370.75,14306708071602.93,16502779692080.314,-16506093031370.75
10,9954063723623.74,12153052432042.625,-11018282700342.041,9954063723623.74,12153052432042.625,-11018282700342.041
11,31995257315434.992,30746114496864.895,-40386418679841.914,31995257315434.992,30746114496864.895,-40386418679841.914
12,57218086300204.305,47983369437335.26,-71356860535481.42,57218086300204.305,47983369437335.26,-71356860535481.42
13,58223048878567.945,47728644509174.984,-80142384918519.05,58223048878567.945,47728644509174.984,-80142384918519.05
14,38517064494764.64,29277792008059.895,-50739356580816.34,38517064494764.64,29277792008059.895,-50739356580816.34
15,21759556466578.96,19891238161638.844,-32564052802088.48,21759556466578.96,19891238161638.844,-32564052802088.48
16,13640354137381.057,14339178534005.164,-19493787292159.684,13640354137381.057,14339178534005.164,-19493787292159.684
17,4842785269865.164,5595287963298.689,-6201862521735.5625,4842785269865.164,5595287963298.689,-6201862521735.5625
18,1818688141610.266,2371301016490.8604,-2256908694758.021,1818688141610.266,2371301016490.8604,-2256908694758.021
19,485637905861.30664,665144790143.3168,-601535314588.1655,485637905861.30664,665144790143.3168,-601535314588.1655
20,267836863634.53503,448597414094.62134,-367318733050.46497,267836863634.53503,448597414094.62134,-367318733050.46497
21,233366601970.25513,502017671442.097,-316875431218.578,233366601970.25513,502017671442.097,-316875431218.578
22,234623505600.98193,543867290796.00574,-303309666415.53815,234623505600.98193,543867290796.00574,-303309666415.53815
23,240586894380.25446,612003882544.4174,-308009353175.82776,240586894380.25446,612003882544.4174,-308009353175.82776
24,205933764757.85022,571987873249.0398,-277216745411.787,205933764757.85022,571987873249.0398,-277216745411.787
25,202125071949.47714,553173592337.0907,-251790608705.28693,202125071949.47714,553173592337.0907,-251790608705.28693
26,111498779113.01314,426378172057.9315,-166461104821.62045,111498779113.01314,426378172057.9315,-166461104821.62045
27,107616979795.55692,414890009700.67944,-138612370798.40067,107616979795.55692,414890009700.67944,-138612370798.40067
28,95345625218.89143,404354306028.4838,-116614952287.07887,95345625218.89143,404354306028.4838,-116614952287.07887
29,144926905980.7744,502299395310.90125,-138256251243.80136,144926905980.7744,502299395310.90125,-138256251243.80136
30,139811720019.92166,488422454365.41156,-107405230721.0269,139811720019.92166,488422454365.41156,-107405230721.0269
31,76993180904.53925,283210301438.5891,-55741371796.912445,76993180904.53925,283210301438.5891,-55741371796.912445
32,50253831305.696434,200883753232.7857,-64011113933.32882,50253831305.696434,200883753232.7857,-64011113933.32882
33,78357219402.58893,243914127857.67654,-142390974817.74918,78357219402.58893,243914127857.67654,-142390974817.74918
34,158097782123.73132,478202679822.47876,-404625774358.559,158097782123.73132,478202679822.47876,-404625774358.559
35,149949702483.15033,396129144490.9228,-412477674090.0808,149949702483.15033,396129144490.9228,-412477674090.0808
36,154104528453.88168,322239195567.58026,-438687865780.3579,154104528453.88168,322239195567.58026,-438687865780.3579
37,603353504767.9135,469288295746.34717,-1303821856632.8372,603353504767.9135,469288295746.34717,-1303821856632.8372
38,1832538056990.0488,967317350657.1141,-3017213535662.896,1832538056990.0488,967317350657.1141,-3017213535662.896
39,13361779209458.35,6449441210629.188,-20402523043925.73,13361779209458.35,6449441210629.188,-20402523043925.73
40,23347950350389.664,28576501751852.715,-69478102256551.85,23347950350389.664,28576501751852.715,-69478102256551.85
41,1649136196365.1118,5031408248910.666,-7684153211205.973,1649136196365.1118,5031408248910.666,-7684153211205.973
42,195780503151.3685,847718152487.9458,-954438572969.0901,195780503151.3685,847718152487.9458,-954438572969.0901
43,247445083511.1492,925333037763.1255,-1035897217360.1497,247445083511.1492,925333037763.1255,-1035897217360.1497
