,org1_x,org1_y,org1_z,org2_x,org2_y,org2_z,time
0,-5257.137103439304,2677.9489334180425,15357.723160056034,-2956.4374394013844,2996.9825512853754,10459.202207226987,286
1,-68.71832963147153,499.8698165217228,1598.672564100244,-27.542784740971516,354.6930364047042,1197.7827098679481,507
2,-863.6482034227927,372.0835873448902,1096.7677606069437,-685.2469832121335,207.70187426189113,789.4298000797081,743
3,-2154.1340114418736,1259.7265057405689,1163.0889303646586,-1772.7553834458352,836.8538493507457,840.7048388972224,974
4,-28071.77651260745,16484.00514759321,-21888.804121581517,-23714.11552328691,10703.807429372438,-23276.821536873915,1208
5,-139713.08062536787,30486.66289924819,-51535.987622450884,-123220.46473933657,11824.833507834175,-50863.346246771485,1408
6,-17749.223189299206,2579.530468601287,-10352.627409168554,-14612.630748291582,-764.9272333015558,-9959.255236183993,1641
7,-443.52843615732036,164.38941046252867,-266.2297672046907,-341.5617530855273,65.72349395181904,-243.85759319800079,1874
8,-403.8285564092402,158.6913288721391,-233.78944210667487,-307.232046651024,69.62676436923778,-219.2776170772406,2074
9,-540.2924068462911,224.0577600587851,-310.9848824241346,-407.87362160470093,99.34760054854578,-297.4447369878312,2274
10,-438.4544307039681,230.73019380410807,-208.05933058852074,-334.9694355619372,127.02956414291042,-206.83817962061266,2475
11,-1078.3451062850518,513.412985317094,-559.5042700384355,-823.9177677526875,237.4602896970459,-559.6681492716946,2677
12,-1594.2722991669261,661.6175176146057,-1060.9320755795313,-1219.736162886565,239.122150604747,-1004.6830621798978,2909
13,-1909.0132143631613,534.7329594368159,-1069.5229699444847,-1440.2744775034332,124.41517002215133,-1009.0598927499324,3109
14,-1185.8496092191212,446.32608780022076,-727.9323806446482,-904.9567606653065,156.5426765125943,-679.8357178933937,3361
15,-1013.5822350970598,426.5481233566965,-488.02618745836594,-776.2807582469528,187.4441045525923,-478.5247432566842,3581
16,-672.3756800444226,353.79143206701383,-283.571088282506,-520.1279935655188,189.37003963170005,-289.47657616029016,3810
17,-271.59416082560386,188.03008113904144,-70.35951587205861,-214.8382521672433,123.36605976904468,-80.52049126497599,4026
18,-141.37833876691846,109.93755379054394,-20.515183842981546,-115.23033000966902,80.14074795495635,-26.465341227569724,4226
19,-60.85928020884953,53.663269615425385,2.775889434794994,-51.86751219099772,43.28118735175272,-0.435860869781824,4429
20,-51.63345084451416,47.559601707693425,11.487944547971367,-44.463581217110985,39.218773777010334,7.645709450887606,4630
21,-52.28920562815959,44.953214710935065,19.692760690036195,-45.06920941323207,37.261519151755685,14.800006602586985,4860
22,-53.15112240566081,44.36667226187146,23.878553816171305,-45.750862449392145,36.769396750387216,18.280112771869884,5095
23,-54.32989763586446,45.008097813991796,26.249012953066615,-46.717632164474814,37.188632565808135,20.168029128040722,5329
24,-51.62010418677605,42.571791980664166,30.024323824072244,-44.535437904271184,35.399657794171276,23.612759302219636,5534
25,-48.03162325274004,39.88003480939483,30.7916067725329,-41.498382242627486,33.30663830827564,24.52719452173451,5764
26,-46.55922977397921,40.65576447825072,36.705072243748326,-40.389052626563206,34.11397800763349,29.567625329079668,6002
27,-42.26748521221695,35.916153044648105,37.55018681755452,-36.70635087945607,30.2463842094878,30.640738748093668,6227
28,-41.7348364681564,34.287012538164355,42.10040597498629,-36.28488203869675,28.983265005318163,34.608526326717985,6427
29,-39.089706062691974,30.4034757116929,41.8911651311315,-34.011998076752924,25.783244887477476,34.67237665916666,6630
30,-36.04287442783157,28.66491617607082,43.74034118682059,-31.42544262188601,24.371417946583342,36.39095266547736,6863
31,-25.106601123983406,24.797389550640283,37.87596626741076,-22.338999833082028,21.58252162355672,32.40846603477888,7063
32,-22.34413576344823,24.35466574373393,27.908643490174185,-19.914326679073124,21.194594782524995,23.855052725108436,7263
33,-26.76076184772145,25.64576597406701,24.743657698244093,-23.703990549736602,22.227379809253506,20.985373800275333,7497
34,-45.58735626684757,46.377408036575034,27.352860846717338,-39.557342228125854,38.62715885896578,21.649639657976277,7729
35,-46.79372937841546,46.21446654511281,20.844489892806347,-40.6482428067385,38.43737247980737,16.132186781357177,7931
36,-47.64324530087203,44.5792503710061,8.833085919599045,-41.36888357731207,36.75535939209768,6.000133206910594,8172
37,-90.1778167813957,68.28883483832881,-17.789238588504986,-75.38913912131484,51.08856562379086,-18.59190458026596,8399
38,-130.3453305293562,104.563464652372,-63.37316139962891,-107.1312010416978,71.27136044760314,-59.29347679766548,8636
39,-550.9101121044168,227.6743071560695,-288.1858791487123,-426.01222353945735,98.17622824641491,-264.45326562881706,8862
40,-1854.7822248892187,502.21741504114584,-339.31194845253145,-1436.1091321341992,159.45362629395964,-447.4274188344419,9064
41,-322.3989391546137,141.56908585546955,41.81236810438093,-257.1458894558134,91.30966148773621,11.7582885185121,9298
42,-94.09909339467875,49.80495418399971,16.42339594425413,-78.87467097895973,37.77799230407829,10.041086947315192,9500
43,-107.84335768811447,38.94410054077919,16.974392121589982,-89.06222510208897,28.399263320475338,10.478492203294698,9731
