,org1_x,org1_y,org1_z,org2_x,org2_y,org2_z,time
0,-2.561420902209895,22.069443956111204,9.489677766411207,-2.176336209899091,18.160847940145295,7.830427518520163,312
1,-2.866210410638248,22.459972991029478,10.688794736701078,-2.4230813459222924,18.553633634728858,8.671762292707216,468
2,-10.369036150874848,23.197246580608276,-1.4794682101158247,-7.161906867277236,20.178852099384056,-0.0592667733524188,610
3,-10.852034852920136,23.571034319124273,-4.509710328224529,-7.46254425012158,20.710838689617688,-2.464985497974197,770
4,-12.139933540007297,24.782361848776162,-6.886537734611074,-8.118600815171495,21.481493883707486,-4.169436205148306,916
5,-13.586338402351647,24.327241829850696,-9.533938043866659,-9.017566735096828,21.518307389318508,-6.430430074696393,1066
6,-14.12819716281766,23.79348547610859,-11.607046378222945,-9.462067263997957,21.371573583865242,-8.171555572754121,1212
7,-14.023267059005423,21.31863624568822,-12.556918608216957,-9.508680504586193,19.543017291407395,-9.277862785012523,1369
8,-13.197546702000452,19.905822168441013,-12.147600868721947,-9.048499117860057,18.424749884884488,-9.078272006886754,1519
9,-12.574691597583259,20.198350659621482,-11.89143337552571,-8.624356643043937,18.644131820834026,-8.861981703800472,1669
10,-12.147107424467787,21.530182525074736,-11.32984729140443,-8.226937571294954,19.597553970715662,-8.314419255857864,1825
11,-12.173811809447283,22.595362925335277,-11.64139990004801,-8.025742173030423,20.394922852608115,-8.394033289933315,1986
12,-13.811116035327826,21.846237054850263,-12.286832462894134,-9.244679236623522,20.00284710980959,-9.124016587125352,2170
13,-12.754221900657143,21.90976939853234,-13.55633814807326,-8.385427786806016,20.019342923469004,-10.062673809577106,2368
14,-13.460795296857803,23.197127275516063,-12.460969562227492,-8.660687230082265,21.20059787127512,-9.103445129814682,2541
15,-11.814468478103453,24.790819253493893,-12.904896682461343,-7.3762900756865815,22.09229416394569,-9.044366431779709,2710
16,-17.512622747692514,21.14700770019661,-15.396897793431762,-11.911040667895922,19.71811365241629,-11.836839875346534,2873
17,-19.553885939566342,16.32594456655348,-23.764724995432662,-12.92079859606356,16.46878615079008,-19.10916988928205,3061
18,-16.59488161764341,29.887728687443953,-12.286767509191629,-9.975803836629794,25.98225830258248,-8.313570566292613,3202
19,-19.65567101901581,29.397860775573914,-8.231075557441805,-12.584049462192663,25.294931684594044,-5.340164524805218,3351
20,-12.376998680734758,29.800187122504003,-14.8388797110049,-6.426727114484616,25.879863428040636,-10.691202279692785,3489
21,-6.636052616181897,35.595720186353404,-21.955490838702442,-0.8118208287733633,30.941087008927617,-15.2176832691761,3643
22,-12.501143054476698,26.482009891201105,2.3952968245263473,-8.598625365186903,22.04155493812597,3.05851522571765,3793
23,-13.011488280826663,26.189471804129894,2.515118076741299,-9.02732358163103,21.718378384115496,3.0215234671073445,3944
24,-13.778761630888761,21.82341164284169,-3.4610980312561357,-9.508821042361129,18.53929567333045,-2.5654788698211433,4085
25,-9.451188134857546,34.744737084392355,-1.7795840421117322,-4.949353082712875,28.427140569433373,0.4238992941614431,4224
26,-3.3006444730705855,28.286952296835953,-4.861991370927899,-0.06501467159923897,23.101537443544423,-2.295410792176505,4362
27,-10.39105519127144,15.536977544534441,-29.17633503965524,-4.745619621428315,15.213229384033497,-24.194485986108898,4513
28,0.5640062779030768,25.639692268193294,-31.155389774488018,5.10769215915459,23.32723917292858,-23.95806571246035,4650
29,-13.556958788128012,24.599573877554512,-11.82983064159873,-8.355751235145934,20.721760810558333,-10.616062967991267,4794
30,16.80945373655002,37.11802629789398,0.710633326836534,15.582891003169946,29.458963416980023,4.7880625502464635,4926
31,-27.92833521862039,-0.6796653389864105,-11.996174618024538,-20.960287547409536,0.41255201899093275,-13.77203335425789,5070
32,-8.327414915682242,20.64658222143999,2.865766035145958,-6.435660325900394,17.236590662283135,2.7933347697496833,5197
33,2.1869928225890103,34.410335561388166,25.55639541293585,2.0547293841000647,27.22473031257468,24.30964944384469,5324
34,-43.12218341539406,-11.460008235567543,-56.612644145309524,-28.372840548066605,-3.611394231608324,-53.49794539476143,5457
35,-0.4132736654118578,26.501706835834874,-6.781015129221923,1.5450504997904677,22.864731792767603,-4.013296296395627,5592
36,-9.755550701795254,22.011019224725462,-4.496267111898577,-6.920396606112615,19.229514300099932,-2.5198831596517275,5720
37,-3.2761966167253886,30.196165131313418,-1.8774149248943874,-0.9143724469255768,24.997060200034007,1.1836430286402277,5861
38,-12.818502990180146,20.745748023425858,1.7339833228591526,-9.212027611310845,16.961016163527013,2.556812993723396,6000
39,7.533817508713995,9.220372994728523,-53.51764753721317,8.390218079836165,12.69363853038258,-42.41860282885601,6150
40,-13.00770132328031,13.796896010557107,-33.79981731183853,-7.307999562678699,15.339871896052442,-27.238145757977637,6282
41,-5.688452386221595,32.460043905992485,28.62266599494833,-4.208328826565256,24.70861746262209,26.322837109418728,6423
42,-12.299688385635228,36.84195415672935,27.424374036877563,-9.424993448389374,28.43128628586243,25.3160642261741,6556
43,-11.10052809721024,37.2126859690062,17.063937493487852,-7.91267454873243,29.468517157995908,17.071361723776956,6694
